acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-81,51,-2040,-26,24,5
-78,52,-2056,-23,23,5
-82,61,-2032,-28,21,4
-76,61,-2042,-25,20,6
-83,46,-2048,-27,24,5
-82,54,-2037,-22,22,3
-79,59,-2042,-23,22,4
-78,53,-2039,-27,21,9
-82,54,-2043,-23,26,4
-81,56,-2042,-25,21,4
-79,60,-2038,-31,25,9
-81,51,-2041,-24,23,5
-83,58,-2045,-26,23,-1
-80,62,-2049,-27,25,11
-82,59,-2054,-26,24,6
-79,56,-2042,-25,24,6
-81,60,-2047,-26,23,3
-83,71,-2047,-28,22,6
-83,54,-2048,-29,23,4
-79,54,-2044,-24,24,5
-76,59,-2043,-30,24,6
-80,52,-2039,-27,22,5
